"filename", "language", "HTML", "JSON", "JavaScript", "comment", "blank", "total"
"d:\大四\毕设\back_end_pratise\config\dbConnection.js", "JavaScript", 0, 0, 11, 0, 2, 13
"d:\大四\毕设\back_end_pratise\constant.js", "JavaScript", 0, 0, 10, 0, 1, 11
"d:\大四\毕设\back_end_pratise\controllers\avatarController.js", "JavaScript", 0, 0, 17, 10, 2, 29
"d:\大四\毕设\back_end_pratise\controllers\collectSongController.js", "JavaScript", 0, 0, 65, 19, 9, 93
"d:\大四\毕设\back_end_pratise\controllers\contactController.js", "JavaScript", 0, 0, 58, 25, 12, 95
"d:\大四\毕设\back_end_pratise\controllers\playlistController.js", "JavaScript", 0, 0, 198, 42, 20, 260
"d:\大四\毕设\back_end_pratise\controllers\userController.js", "JavaScript", 0, 0, 95, 20, 11, 126
"d:\大四\毕设\back_end_pratise\middleware\errorHandler.js", "JavaScript", 0, 0, 51, 0, 2, 53
"d:\大四\毕设\back_end_pratise\middleware\upload.js", "JavaScript", 0, 0, 40, 0, 6, 46
"d:\大四\毕设\back_end_pratise\middleware\validateTokenHandler.js", "JavaScript", 0, 0, 27, 0, 2, 29
"d:\大四\毕设\back_end_pratise\models\artistModel.js", "JavaScript", 0, 0, 24, 0, 3, 27
"d:\大四\毕设\back_end_pratise\models\collectModels.js", "JavaScript", 0, 0, 49, 0, 7, 56
"d:\大四\毕设\back_end_pratise\models\contactModel.js", "JavaScript", 0, 0, 23, 0, 2, 25
"d:\大四\毕设\back_end_pratise\models\playlistModel.js", "JavaScript", 0, 0, 32, 0, 3, 35
"d:\大四\毕设\back_end_pratise\models\playlistSongModel.js", "JavaScript", 0, 0, 16, 0, 2, 18
"d:\大四\毕设\back_end_pratise\models\songModel.js", "JavaScript", 0, 0, 27, 0, 3, 30
"d:\大四\毕设\back_end_pratise\models\userModel.js", "JavaScript", 0, 0, 22, 0, 2, 24
"d:\大四\毕设\back_end_pratise\package-lock.json", "JSON", 0, 3517, 0, 0, 1, 3518
"d:\大四\毕设\back_end_pratise\package.json", "JSON", 0, 29, 0, 0, 1, 30
"d:\大四\毕设\back_end_pratise\request.js", "JavaScript", 0, 0, 25, 0, 4, 29
"d:\大四\毕设\back_end_pratise\routes\avatarRoute.js", "JavaScript", 0, 0, 9, 0, 6, 15
"d:\大四\毕设\back_end_pratise\routes\collectSongRoute.js", "JavaScript", 0, 0, 12, 0, 6, 18
"d:\大四\毕设\back_end_pratise\routes\contactRoute.js", "JavaScript", 0, 0, 8, 0, 4, 12
"d:\大四\毕设\back_end_pratise\routes\playlistRoute.js", "JavaScript", 0, 0, 27, 0, 10, 37
"d:\大四\毕设\back_end_pratise\routes\userRoute.js", "JavaScript", 0, 0, 9, 0, 5, 14
"d:\大四\毕设\back_end_pratise\server.js", "JavaScript", 0, 0, 23, 1, 6, 30
"d:\大四\毕设\back_end_pratise\test.html", "HTML", 15, 0, 0, 0, 0, 15
"Total", "-", 15, 3546, 878, 117, 132, 4688
